Tipo de Evento,Descrição Sumária do Evento,Campus
Evento esportivo,Jogos interclasse,Januária
Seminário,Seminário de turismo do IFNMG campus Pirapora,Pirapora
Oficina,"Consumo de energia elétrica, como gastar menos?",Pirapora
Consultoria/Assessoria,Ação social- bazar beneficente em prol da ascarpi,Pirapora
Congresso/Fórum,VIII seminário de iniciação científia do ifnmg (sic),Pirapora
Congresso/Fórum,III Mostra científica do curso de administração,Pirapora
Congresso/Fórum,III semana da engenharia civil,Pirapora
Congresso/Fórum,VIII semana do administrador,Pirapora
Congresso/Fórum,VII semana da ciência e tecnologia,Pirapora
Seminário,I seminário de turismo do ifnmg/campus pirapora,Pirapora
Cursos Curta duração,O curso de Robótica Educacional,Porteirinha
Cursos FIC,Curso FIC Inglês Básico,Porteirinha
Cursos FIC,Curso FIC Produtor de derivados do leite com ênfase na produção de queijo - 1? Turma.,Porteirinha
Cursos FIC,Curso FIC Operador de Caixa,Porteirinha
Cursos FIC,Curso FIC Assistente Financeiro,Porteirinha
Cursos FIC,Curso FIC Vendedor,Porteirinha
Cursos FIC,Curso FIC Condutor de Turismo Unidades de Conservação Ambiental  Local,Porteirinha
Cursos FIC,Curso FIC Produtor de derivados do leite com ênfase na produção de queijo - 2? Turma.,Porteirinha
Cursos FIC,Curso FIC Química para Vestibulares,Porteirinha
Evento esportivo,Os jogos do IFNMG - Campus Porteirinha,Porteirinha
Espetáculo,"Apresentação do Teatro ""A importância do Meio Ambiente"" ",Porteirinha
Festival,Festival de Culturas: Encanto dos Vales e Montes do Sertão do IFNMG.,Porteirinha
Gincana,Gincana Estudantil promovida pelos alunos dos cursos integrados com a supervisão dos professores,Montes Claros
Seminário,Seminário promovida para a sensibilização da comunidade do IFNMG sobre a presenvação ambiental,Montes Claros
Seminário,Seminário de conscientização sobre o Setembro Azul com relação à conscientização e valorização com relação às pessoas com deficiência auditiva,Montes Claros
Seminário,Seminário de recepção dos alunos da Engenharia Química onde foram promovidas uma série de palestras e visitais técnicas,Montes Claros
Mostra,Mostra que visa promover a astronomia e comemorar os 50 anos de lançamento da Apolo 11,Montes Claros
Palestra e Mesa Redonda,Palestra para divulgar a Academina Militar das Agulhas Negras,Montes Claros
Oficina,Plantio de árvores do cerrado como oficina de conscientização ambiental dos alunos do IFNMG-Campus Montes Claros,Montes Claros
Oficina,Evento promovido para a preparação de candidatos para a participação em bancas e concursos da LIBRAS,Montes Claros
Workshop,Evento de divulgação das ações do Time Enactus do IFNMG-Campus Montes Claros,Montes Claros
Congresso/Fórum,IV Encontro Tecnológico da Cachaça de Alambique,Salinas
Cursos Curta duração,Cultura Alimentar e Sustentabilidade na Produção de Alimentos Saudáveis,Salinas
Palestra e Mesa Redonda,"Palestra Infecções Sexualmente Transmissíveis e a AIDS, visando a educação para a vida sexual e reprodutiva de adolescentes",Salinas
Exposição e Feira,I ECO PRAÇA: evento destinado à população salinense no intuito de conscientizar a população a respeito de boas práticas em defesa da conservação da fauna e flora,Salinas
Oficina,Selva Kids: oficinas interativas com palestras e jogos,Salinas
Workshop,V WorkShop da Tecnologia em Produção de Cachaça com o objetivo de proporcionar um diálogo mais aberto e prático a respeito da Tecnologia em Produção de Cachaça,Salinas
Cursos Curta duração,Curso introdutório sobre a produção de Bonsai,Teófilo Otoni
Palestra e Mesa Redonda,Empreendedorismo - caminho para o sucesso,Teófilo Otoni
Cursos Curta duração,Introdução aos sistemas agroflorestais,Teófilo Otoni
Seminário,Seminário de Agroecologia,Teófilo Otoni
Palestra e Mesa Redonda,Cidadania e Participação Popular,Teófilo Otoni
Palestra e Mesa Redonda,Elaboração de Currículos e Ética Profissional,Teófilo Otoni
Palestra e Mesa Redonda,História e Cultura dos Povos Originários do México,Teófilo Otoni
Palestra e Mesa Redonda,Cidadania e participação popular,Teófilo Otoni
Seminário,Semeando o Desenvolvimento,Teófilo Otoni
